amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,Target
48.01830285876102,3.0,2.0,5.0,21.0,0.1685712394374171,0.2240574034911916,1
136.88196000299405,1.0,4.0,3.0,14.0,0.2961272487947395,0.125057692410153,3
80.53471896232148,2.0,0.0,3.0,23.0,0.1248009783678277,0.1592425051585693,1
120.04115818676428,1.0,3.0,1.0,16.0,0.0981289537116425,0.027541969223896817,2
97.10862458470542,2.0,0.0,0.0,17.0,0.2353994323859285,0.1054540510901703,0
166.2092618572779,1.0,4.0,4.0,12.0,0.1159059086426822,0.2237178434100433,3
96.51263663096326,1.0,3.0,5.0,7.0,0.0822504332864774,0.03402301013347181,3
83.33870063187989,3.0,2.0,0.0,16.0,0.02177444136379761,0.2795975065334214,0
89.69573134806983,3.0,3.0,4.0,6.0,0.0953534371726979,0.1363364134083345,3
101.40382672472744,3.0,4.0,1.0,7.0,0.1647939348194068,0.2919396246385753,0
106.56344355857529,3.0,2.0,0.0,23.0,0.1362359685879872,0.1358305529043107,0
55.36360144813594,1.0,2.0,5.0,10.0,0.0743042636671988,0.1287602546987983,1
99.41209708030595,1.0,2.0,0.0,10.0,0.0847735516439609,0.0143336886378726,2
94.5456051441663,0.0,0.0,3.0,20.0,0.1334897274000259,0.1620098344857201,1
133.4106627218069,2.0,2.0,4.0,19.0,0.0831321636519302,0.2860201892035907,1
157.99812334207053,3.0,1.0,1.0,19.0,0.2075330047227872,0.01996165722126081,0
202.99589542072368,3.0,3.0,3.0,23.0,0.1565442993059684,0.082757566529072,3
88.50981483421131,3.0,4.0,4.0,19.0,0.1478030297898635,0.2064802039083664,3
115.30655945024978,1.0,2.0,1.0,14.0,0.2063843780465729,0.0687663533155056,2
63.99286999198463,3.0,4.0,1.0,12.0,0.0437436214939283,0.2228466120955162,0
113.30575124310728,0.0,0.0,3.0,9.0,0.1421629827225529,0.0348855433222775,1
131.96349737388977,1.0,0.0,1.0,18.0,0.0398973274519932,0.04451144237697531,2
76.69547978824451,2.0,3.0,3.0,7.0,0.09397596614893372,0.1849988394372379,3
